Activity,Country,Implementing_agency,Sector,Funding_ac,Transaction_type,Fiscal_year,Current_amount
Program Design and Learning,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2016,112133
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Disbursements,2011,112076
National Endowment for Democracy Grant to Index on Censorship,Europe Region,Department of State,Government and Civil Society,"Department of State, National Endowment for Democracy",Disbursements,2016,112000
National Endowment for Democracy Grant to Index on Censorship,Europe Region,Department of State,Government and Civil Society,"Department of State, National Endowment for Democracy",Obligations,2016,112000
Agricultural Knowledge and Program Support (AKPS),Eastern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2013,111912
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2017,111902
Powering Progress Project (PPP),Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2013,111762
Powering Progress Project (PPP),Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Obligations,2013,111762
CGIAR Fund grant with the World Bank.,Southern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2016,111741
Orientation Visit - Constanta to Trieste Oil Pipeline,Europe Region,Trade and Development Agency,Mineral Resources and Mining,Trade and Development Agency,Obligations,2004,111667
Orientation Visit - Constanta to Trieste Oil Pipeline,Europe Region,Trade and Development Agency,Mineral Resources and Mining,Trade and Development Agency,Disbursements,2004,111667
Water Supply and Sanitation,West Africa Region,U.S. Agency for International Development,Water Supply and Sanitation,"Agency for International Development, Development Assistance",Disbursements,2010,111633
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, International Disaster Assistance",Disbursements,2010,111597
Program Support (Counter-Terrorism),West Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, Development Assistance",Disbursements,2009,111499
Evaluation,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, International Disaster Assistance",Obligations,2017,111494
Regional Conflict Prevention,West Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, Development Assistance",Disbursements,2004,111487
Administrative costs,Southern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Disbursements,2005,111443
Food Security and Environment,West Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Economic Support Fund,Disbursements,2008,111420
Food Security and Environment,West Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Economic Support Fund,Disbursements,2004,111419
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2009,111387
Program Support (Governance),Eastern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2008,111379
Technical Support for PEPFAR (TSP),Southern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Disbursements,2016,111378
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Department of State, Global Health Programs",Obligations,2011,111300
Provide Overseas Processing for Refugees,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2013,111242
Evidence to Action (E2A),West Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Disbursements,2013,111201
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2013,111142
REFUGEE INTEGRATION AND ADAPTATION,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2001,111122
Regional Policy Dialogue-Rapid,Southern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Obligations,2002,111122
98 SO1: INCREASED REGIONAL CAPACITY TO INFLUENCE DEMOCRATIC,Southern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2003,110960
Program Design and Learning,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2011,110941
Program Support (Agriculture),West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2009,110928
Crisis Assistance and Recovery,Eastern Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Public Law 480 Title II Grants,Obligations,2013,110903
